disease name,lncRNA name,score,Rank
monogenic disease,TP53COR1,0.424,9
monogenic disease,MIAT,0.418,10
monogenic disease,HCP5,0.416,11
monogenic disease,XIST,0.382,12
monogenic disease,PCA3,0.342,13
monogenic disease,ATXN8OS,0.342,14
monogenic disease,BANCR,0.314,15
monogenic disease,NEAT1,0.304,16
monogenic disease,HOTAIR,0.304,17
monogenic disease,LINCMD1,0.302,18
monogenic disease,DISC2,0.282,19
monogenic disease,CDKN2A-AS1,0.282,20
monogenic disease,BCYRN1,0.252,21
monogenic disease,DLEU2,0.224,22
monogenic disease,HULC,0.204,23
monogenic disease,TUG1,0.186,24
monogenic disease,RMST,0.184,25
monogenic disease,MIR100HG,0.176,26
monogenic disease,LINC01556,0.172,27
monogenic disease,PISRT1,0.17,28
monogenic disease,DANCR,0.158,29
monogenic disease,HAR1A,0.154,30
primary bacterial infectious disease,MIF-AS1,0.55,1
primary bacterial infectious disease,THRIL,0.492,2
primary bacterial infectious disease,LINC00163,0.374,3
primary bacterial infectious disease,IL12A-AS1,0.372,4
primary bacterial infectious disease,NRON,0.358,5
primary bacterial infectious disease,DANCR,0.342,6
primary bacterial infectious disease,LINC00299,0.34,7
primary bacterial infectious disease,XIST,0.33,8
primary bacterial infectious disease,GNAS-AS1,0.322,9
primary bacterial infectious disease,LINCMD1,0.312,10
primary bacterial infectious disease,TP53TG1,0.306,11
primary bacterial infectious disease,ATXN8OS,0.284,12
primary bacterial infectious disease,DLEU2,0.28,13
primary bacterial infectious disease,LINC01556,0.276,14
primary bacterial infectious disease,PCA3,0.266,15
primary bacterial infectious disease,CCDC26,0.26,16
primary bacterial infectious disease,TP53COR1,0.248,17
primary bacterial infectious disease,AFAP1-AS1,0.244,18
primary bacterial infectious disease,ESRG,0.234,19
primary bacterial infectious disease,HULC,0.216,20
primary bacterial infectious disease,DISC2,0.214,21
primary bacterial infectious disease,PISRT1,0.196,22
primary bacterial infectious disease,MIAT,0.188,23
primary bacterial infectious disease,PVT1,0.186,24
primary bacterial infectious disease,H19,0.184,25
primary bacterial infectious disease,RMST,0.18,26
primary bacterial infectious disease,PWAR4,0.178,27
primary bacterial infectious disease,CDKN2B-AS1,0.174,28
primary bacterial infectious disease,BCYRN1,0.17,29
primary bacterial infectious disease,MIR100HG,0.17,30
orofacial cleft,MALAT1,0.564,1
orofacial cleft,MIR17HG,0.558,2
orofacial cleft,CDKN2B-AS1,0.534,3
orofacial cleft,MEG3,0.532,4
orofacial cleft,GAS5,0.516,5
orofacial cleft,KCNQ1OT1,0.51,6
orofacial cleft,HOTAIR,0.484,7
orofacial cleft,H19,0.476,8
orofacial cleft,NEAT1,0.47,9
orofacial cleft,XIST,0.46,10
orofacial cleft,PCA3,0.432,11
orofacial cleft,HCP5,0.386,12
orofacial cleft,LINCMD1,0.324,13
orofacial cleft,HULC,0.322,14
orofacial cleft,ATXN8OS,0.298,15
orofacial cleft,DANCR,0.296,16
orofacial cleft,MIAT,0.28,17
orofacial cleft,IGF2-AS,0.266,18
orofacial cleft,DLEU2,0.262,19
orofacial cleft,MIR155HG,0.256,20
orofacial cleft,ESRG,0.254,21
orofacial cleft,TP53COR1,0.25,22
orofacial cleft,AFAP1-AS1,0.25,23
orofacial cleft,RMST,0.248,24
orofacial cleft,GSTT1-AS1,0.248,25
orofacial cleft,CCDC26,0.246,26
orofacial cleft,DISC2,0.244,27
orofacial cleft,LINC01556,0.234,28
orofacial cleft,BANCR,0.226,29
orofacial cleft,HOTTIP,0.224,30
respiratory system cancer,KCNQ1OT1,0.924,1
respiratory system cancer,SPRY4-IT1,0.922,2
respiratory system cancer,HULC,0.892,3
respiratory system cancer,TUSC7,0.892,4
respiratory system cancer,LINC00675,0.87,5
respiratory system cancer,HOTTIP,0.862,6
respiratory system cancer,CASC16,0.86,7
respiratory system cancer,LINC00583,0.86,8
respiratory system cancer,GHET1,0.86,9
respiratory system cancer,TP53COR1,0.858,10
respiratory system cancer,SOX2-OT,0.844,11
respiratory system cancer,HOTAIRM1,0.84,12
respiratory system cancer,SNHG12,0.832,13
respiratory system cancer,WT1-AS,0.83,14
respiratory system cancer,SNHG4,0.828,15
respiratory system cancer,MIR155HG,0.812,16
respiratory system cancer,LINC00472,0.812,17
respiratory system cancer,ZFAS1,0.81,18
respiratory system cancer,LINC-ROR,0.806,19
respiratory system cancer,MIR100HG,0.804,20
respiratory system cancer,CRNDE,0.802,21
respiratory system cancer,CASC2,0.8,22
respiratory system cancer,BCAR4,0.784,23
respiratory system cancer,DLEU2,0.778,24
respiratory system cancer,LINC-PINT,0.776,25
respiratory system cancer,NPSR1-AS1,0.774,26
respiratory system cancer,HCP5,0.768,27
respiratory system cancer,HOXA11-AS,0.738,28
respiratory system cancer,TINCR,0.73,29
respiratory system cancer,LINC00961,0.73,30
primary cutaneous amyloidosis,CDKN2B-AS1,0.614,1
primary cutaneous amyloidosis,PVT1,0.6,2
primary cutaneous amyloidosis,MEG3,0.576,3
primary cutaneous amyloidosis,H19,0.564,4
primary cutaneous amyloidosis,MALAT1,0.552,5
primary cutaneous amyloidosis,MIR17HG,0.548,6
primary cutaneous amyloidosis,KCNQ1OT1,0.54,7
primary cutaneous amyloidosis,HCP5,0.466,8
primary cutaneous amyloidosis,GAS5,0.46,9
primary cutaneous amyloidosis,IGF2-AS,0.46,10
primary cutaneous amyloidosis,ESRG,0.456,11
primary cutaneous amyloidosis,HOTAIR,0.448,12
primary cutaneous amyloidosis,NEAT1,0.44,13
primary cutaneous amyloidosis,XIST,0.424,14
primary cutaneous amyloidosis,RMST,0.424,15
primary cutaneous amyloidosis,DANCR,0.402,16
primary cutaneous amyloidosis,CTBP1-AS,0.398,17
primary cutaneous amyloidosis,LINCMD1,0.396,18
primary cutaneous amyloidosis,MIAT,0.37,19
primary cutaneous amyloidosis,LINC00474,0.364,20
primary cutaneous amyloidosis,TP53COR1,0.36,21
primary cutaneous amyloidosis,DISC2,0.36,22
primary cutaneous amyloidosis,HULC,0.354,23
primary cutaneous amyloidosis,ATXN8OS,0.35,24
primary cutaneous amyloidosis,THRIL,0.35,25
primary cutaneous amyloidosis,LINC01556,0.324,26
primary cutaneous amyloidosis,HYMAI,0.318,27
primary cutaneous amyloidosis,GNAS-AS1,0.314,28
primary cutaneous amyloidosis,GSTT1-AS1,0.296,29
primary cutaneous amyloidosis,TP53TG1,0.294,30
organ system cancer,CBR3-AS1,1,1
organ system cancer,PICSAR,0.992,2
organ system cancer,C5orf66-AS1,0.992,3
organ system cancer,HYMAI,0.99,4
organ system cancer,LINC01556,0.984,5
organ system cancer,LINC00654,0.972,6
organ system cancer,SAMMSON,0.972,7
organ system cancer,LINC00032,0.972,8
organ system cancer,MIAT,0.912,9
organ system cancer,LINCMD1,0.896,10
organ system cancer,EPB41L4A-AS1,0.878,11
organ system cancer,PISRT1,0.876,12
organ system cancer,LINC00511,0.872,13
organ system cancer,NRON,0.866,14
organ system cancer,THRIL,0.866,15
organ system cancer,MIF-AS1,0.864,16
organ system cancer,FENDRR,0.86,17
organ system cancer,GNAS-AS1,0.83,18
organ system cancer,FAM83H-AS1,0.828,19
organ system cancer,LINC01024,0.828,20
organ system cancer,NALT1,0.828,21
organ system cancer,CDR1-AS,0.828,22
organ system cancer,TARID,0.828,23
organ system cancer,LINC00271,0.822,24
organ system cancer,IL12A-AS1,0.822,25
organ system cancer,LINC00474,0.814,26
organ system cancer,HLA-F-AS1,0.804,27
organ system cancer,MCHR2-AS1,0.774,28
organ system cancer,GSTT1-AS1,0.756,29
organ system cancer,TP53TG1,0.738,30
cell type cancer,XIST,0.984,1
cell type cancer,TUG1,0.978,2
cell type cancer,SNHG1,0.968,3
cell type cancer,PCAT1,0.942,4
cell type cancer,SOX2-OT,0.934,5
cell type cancer,ZFAS1,0.928,6
cell type cancer,DANCR,0.924,7
cell type cancer,TP53COR1,0.904,8
cell type cancer,TRERNA1,0.898,9
cell type cancer,MIR7-3HG,0.898,10
cell type cancer,LSINCT5,0.888,11
cell type cancer,LINC-ROR,0.86,12
cell type cancer,RMST,0.856,13
cell type cancer,MIR124-2HG,0.848,14
cell type cancer,MIR155HG,0.838,15
cell type cancer,PRNCR1,0.836,16
cell type cancer,DLEU2,0.83,17
cell type cancer,HOTAIRM1,0.83,18
cell type cancer,MINCR,0.82,19
cell type cancer,MIAT,0.816,20
cell type cancer,LINC00261,0.81,21
cell type cancer,TP73-AS1,0.804,22
cell type cancer,LINC00961,0.804,23
cell type cancer,HCG4,0.802,24
cell type cancer,SNHG4,0.802,25
cell type cancer,LINC00472,0.798,26
cell type cancer,CASC16,0.788,27
cell type cancer,LINC00583,0.788,28
cell type cancer,LINC01426,0.784,29
cell type cancer,NPSR1-AS1,0.78,30
autosomal dominant disease,H19,0.796,1
autosomal dominant disease,MALAT1,0.65,2
autosomal dominant disease,KCNQ1OT1,0.624,3
autosomal dominant disease,PVT1,0.608,4
autosomal dominant disease,MEG3,0.592,5
autosomal dominant disease,ESRG,0.584,6
autosomal dominant disease,GAS5,0.55,7
autosomal dominant disease,HOTAIR,0.494,8
autosomal dominant disease,MIR155HG,0.48,9
autosomal dominant disease,HCP5,0.448,10
autosomal dominant disease,TP53COR1,0.434,11
autosomal dominant disease,MIAT,0.424,12
autosomal dominant disease,XIST,0.402,13
autosomal dominant disease,NEAT1,0.36,14
autosomal dominant disease,PCA3,0.348,15
autosomal dominant disease,ATXN8OS,0.344,16
autosomal dominant disease,BANCR,0.332,17
autosomal dominant disease,LINCMD1,0.302,18
autosomal dominant disease,DISC2,0.284,19
autosomal dominant disease,CDKN2A-AS1,0.278,20
autosomal dominant disease,BCYRN1,0.266,21
autosomal dominant disease,HULC,0.22,22
autosomal dominant disease,DLEU2,0.218,23
autosomal dominant disease,TUG1,0.206,24
autosomal dominant disease,RMST,0.184,25
autosomal dominant disease,LINC01556,0.178,26
autosomal dominant disease,MIR100HG,0.178,27
autosomal dominant disease,PISRT1,0.172,28
autosomal dominant disease,DANCR,0.156,29
autosomal dominant disease,HAR1A,0.15,30
autosomal genetic disease,H19,0.806,1
autosomal genetic disease,MALAT1,0.668,2
autosomal genetic disease,KCNQ1OT1,0.64,3
autosomal genetic disease,PVT1,0.618,4
autosomal genetic disease,MEG3,0.606,5
autosomal genetic disease,ESRG,0.576,6
autosomal genetic disease,GAS5,0.56,7
autosomal genetic disease,HOTAIR,0.496,8
autosomal genetic disease,MIR155HG,0.48,9
autosomal genetic disease,HCP5,0.45,10
autosomal genetic disease,TP53COR1,0.436,11
autosomal genetic disease,MIAT,0.424,12
autosomal genetic disease,XIST,0.406,13
autosomal genetic disease,NEAT1,0.362,14
autosomal genetic disease,PCA3,0.348,15
autosomal genetic disease,ATXN8OS,0.342,16
autosomal genetic disease,BANCR,0.33,17
autosomal genetic disease,LINCMD1,0.302,18
autosomal genetic disease,DISC2,0.28,19
autosomal genetic disease,CDKN2A-AS1,0.28,20
autosomal genetic disease,BCYRN1,0.262,21
autosomal genetic disease,HULC,0.22,22
autosomal genetic disease,DLEU2,0.218,23
autosomal genetic disease,TUG1,0.208,24
autosomal genetic disease,RMST,0.182,25
autosomal genetic disease,MIR100HG,0.176,26
autosomal genetic disease,LINC01556,0.172,27
autosomal genetic disease,PISRT1,0.168,28
autosomal genetic disease,DANCR,0.158,29
autosomal genetic disease,HAR1A,0.152,30
diffuse large B-cell lymphoma,DANCR,0.46,1
diffuse large B-cell lymphoma,PCA3,0.456,2
diffuse large B-cell lymphoma,MIR17HG,0.384,3
diffuse large B-cell lymphoma,PVT1,0.378,4
diffuse large B-cell lymphoma,H19,0.366,5
diffuse large B-cell lymphoma,RMST,0.366,6
diffuse large B-cell lymphoma,CDKN2B-AS1,0.364,7
diffuse large B-cell lymphoma,GSTT1-AS1,0.346,8
diffuse large B-cell lymphoma,AFAP1-AS1,0.344,9
diffuse large B-cell lymphoma,KCNQ1OT1,0.34,10
diffuse large B-cell lymphoma,XIST,0.334,11
diffuse large B-cell lymphoma,MALAT1,0.332,12
diffuse large B-cell lymphoma,BANCR,0.328,13
diffuse large B-cell lymphoma,MEG3,0.328,14
diffuse large B-cell lymphoma,HOTTIP,0.32,15
diffuse large B-cell lymphoma,EWSAT1,0.318,16
diffuse large B-cell lymphoma,HCP5,0.314,17
diffuse large B-cell lymphoma,TP53COR1,0.306,18
diffuse large B-cell lymphoma,HOTAIR,0.306,19
diffuse large B-cell lymphoma,THRIL,0.304,20
diffuse large B-cell lymphoma,LINCMD1,0.294,21
diffuse large B-cell lymphoma,CCDC26,0.294,22
diffuse large B-cell lymphoma,DLEU2,0.29,23
diffuse large B-cell lymphoma,ESRG,0.288,24
diffuse large B-cell lymphoma,NEAT1,0.286,25
diffuse large B-cell lymphoma,ATXN8OS,0.27,26
diffuse large B-cell lymphoma,IGF2-AS,0.268,27
diffuse large B-cell lymphoma,MIF-AS1,0.264,28
diffuse large B-cell lymphoma,LINC00163,0.26,29
diffuse large B-cell lymphoma,MIAT,0.248,30
pheochromocytoma,MALAT1,0.748,1
pheochromocytoma,H19,0.71,2
pheochromocytoma,CDKN2B-AS1,0.686,3
pheochromocytoma,HOTAIR,0.63,4
pheochromocytoma,KCNQ1OT1,0.574,5
pheochromocytoma,PVT1,0.556,6
pheochromocytoma,MIR17HG,0.522,7
pheochromocytoma,XIST,0.412,8
pheochromocytoma,GAS5,0.402,9
pheochromocytoma,NEAT1,0.358,10
pheochromocytoma,MIAT,0.306,11
pheochromocytoma,HCP5,0.272,12
pheochromocytoma,PCA3,0.262,13
pheochromocytoma,ESRG,0.224,14
pheochromocytoma,BCYRN1,0.222,15
pheochromocytoma,LINC01556,0.208,16
pheochromocytoma,AFAP1-AS1,0.206,17
pheochromocytoma,IGF2-AS,0.202,18
pheochromocytoma,RMST,0.198,19
pheochromocytoma,GSTT1-AS1,0.198,20
pheochromocytoma,TUG1,0.19,21
pheochromocytoma,HULC,0.184,22
pheochromocytoma,DISC2,0.184,23
pheochromocytoma,TP53COR1,0.18,24
pheochromocytoma,MIR155HG,0.18,25
pheochromocytoma,ATXN8OS,0.176,26
pheochromocytoma,MIR100HG,0.176,27
pheochromocytoma,CCDC26,0.172,28
pheochromocytoma,BANCR,0.166,29
pheochromocytoma,DLEU2,0.164,30
eye adnexa disease,LINCMD1,0.552,1
eye adnexa disease,ATXN8OS,0.498,2
eye adnexa disease,THRIL,0.484,3
eye adnexa disease,IL12A-AS1,0.404,4
eye adnexa disease,DAOA-AS1,0.384,5
eye adnexa disease,MIF-AS1,0.37,6
eye adnexa disease,TP53TG1,0.366,7
eye adnexa disease,MIR100HG,0.364,8
eye adnexa disease,ESRG,0.362,9
eye adnexa disease,MIAT,0.36,10
eye adnexa disease,GSTT1-AS1,0.35,11
eye adnexa disease,MCHR2-AS1,0.332,12
eye adnexa disease,CDKN2A-AS1,0.332,13
eye adnexa disease,XIST,0.318,14
eye adnexa disease,TP53COR1,0.316,15
eye adnexa disease,PWAR4,0.316,16
eye adnexa disease,DISC2,0.314,17
eye adnexa disease,NRON,0.31,18
eye adnexa disease,PCA3,0.298,19
eye adnexa disease,DANCR,0.292,20
eye adnexa disease,DLEU2,0.29,21
eye adnexa disease,BCYRN1,0.284,22
eye adnexa disease,HAR1A,0.266,23
eye adnexa disease,GNAS-AS1,0.248,24
eye adnexa disease,CCDC26,0.248,25
eye adnexa disease,LINC00299,0.244,26
eye adnexa disease,HYMAI,0.236,27
eye adnexa disease,LINC00474,0.236,28
eye adnexa disease,HCG9,0.234,29
eye adnexa disease,AFAP1-AS1,0.228,30
artery disease,MEG3,0.93,1
artery disease,PVT1,0.928,2
artery disease,HOTAIR,0.922,3
artery disease,GAS5,0.914,4
artery disease,XIST,0.884,5
artery disease,TUG1,0.818,6
artery disease,MIR155HG,0.818,7
artery disease,NEAT1,0.798,8
artery disease,HCP5,0.79,9
artery disease,UCA1,0.728,10
artery disease,ATXN8OS,0.722,11
artery disease,BANCR,0.706,12
artery disease,BCYRN1,0.67,13
artery disease,IGF2-AS,0.648,14
artery disease,HAR1A,0.642,15
artery disease,HOTTIP,0.618,16
artery disease,LINC00271,0.608,17
artery disease,WT1-AS,0.608,18
artery disease,LINC00675,0.602,19
artery disease,LINCMD1,0.59,20
artery disease,MIR100HG,0.584,21
artery disease,PISRT1,0.576,22
artery disease,HULC,0.572,23
artery disease,DISC2,0.57,24
artery disease,CCAT2,0.57,25
artery disease,DAOA-AS1,0.562,26
artery disease,AFAP1-AS1,0.556,27
artery disease,SPRY4-IT1,0.548,28
artery disease,MCHR2-AS1,0.548,29
artery disease,PCA3,0.546,30
pericardium disease,ATXN8OS,0.482,1
pericardium disease,ESRG,0.472,2
pericardium disease,KCNQ1OT1,0.462,3
pericardium disease,XIST,0.456,4
pericardium disease,LINCMD1,0.442,5
pericardium disease,MIR17HG,0.436,6
pericardium disease,DANCR,0.422,7
pericardium disease,PCA3,0.414,8
pericardium disease,THRIL,0.402,9
pericardium disease,AFAP1-AS1,0.398,10
pericardium disease,TP53COR1,0.396,11
pericardium disease,MIR155HG,0.394,12
pericardium disease,GSTT1-AS1,0.392,13
pericardium disease,NRON,0.39,14
pericardium disease,MIF-AS1,0.374,15
pericardium disease,GAS5,0.368,16
pericardium disease,MIAT,0.362,17
pericardium disease,HULC,0.36,18
pericardium disease,DISC2,0.344,19
pericardium disease,PVT1,0.334,20
pericardium disease,PISRT1,0.322,21
pericardium disease,CDKN2A-AS1,0.322,22
pericardium disease,IL12A-AS1,0.318,23
pericardium disease,NEAT1,0.316,24
pericardium disease,CDKN2B-AS1,0.308,25
pericardium disease,TUG1,0.3,26
pericardium disease,BCYRN1,0.294,27
pericardium disease,BANCR,0.282,28
pericardium disease,LINC00675,0.28,29
pericardium disease,LINC00163,0.276,30
peripheral artery disease,H19,0.81,1
peripheral artery disease,MIR17HG,0.39,2
peripheral artery disease,MALAT1,0.378,3
peripheral artery disease,HOTAIR,0.36,4
peripheral artery disease,MEG3,0.31,5
peripheral artery disease,KCNQ1OT1,0.222,6
peripheral artery disease,GAS5,0.216,7
peripheral artery disease,XIST,0.21,8
peripheral artery disease,PCA3,0.186,9
peripheral artery disease,CCDC26,0.164,10
peripheral artery disease,DANCR,0.152,11
peripheral artery disease,DLEU2,0.14,12
peripheral artery disease,LINC00163,0.128,13
peripheral artery disease,PVT1,0.118,14
peripheral artery disease,MIR100HG,0.116,15
peripheral artery disease,HYMAI,0.11,16
peripheral artery disease,RMST,0.104,17
peripheral artery disease,HULC,0.098,18
peripheral artery disease,AFAP1-AS1,0.09,19
peripheral artery disease,DISC2,0.09,20
peripheral artery disease,GSTT1-AS1,0.09,21
peripheral artery disease,TP53COR1,0.088,22
peripheral artery disease,BCYRN1,0.084,23
peripheral artery disease,BANCR,0.078,24
peripheral artery disease,ESRG,0.076,25
peripheral artery disease,MIAT,0.076,26
peripheral artery disease,PCGEM1,0.076,27
peripheral artery disease,CDKN2A-AS1,0.064,28
peripheral artery disease,WT1-AS,0.064,29
peripheral artery disease,MIR155HG,0.06,30
tongue squamous cell carcinoma,KCNQ1OT1,0.71,1
tongue squamous cell carcinoma,CDKN2B-AS1,0.686,2
tongue squamous cell carcinoma,NEAT1,0.666,3
tongue squamous cell carcinoma,H19,0.644,4
tongue squamous cell carcinoma,HULC,0.636,5
tongue squamous cell carcinoma,TUG1,0.628,6
tongue squamous cell carcinoma,PVT1,0.624,7
tongue squamous cell carcinoma,BANCR,0.61,8
tongue squamous cell carcinoma,AFAP1-AS1,0.604,9
tongue squamous cell carcinoma,HCP5,0.564,10
tongue squamous cell carcinoma,MIR17HG,0.558,11
tongue squamous cell carcinoma,XIST,0.554,12
tongue squamous cell carcinoma,GAS5,0.552,13
tongue squamous cell carcinoma,LINC00675,0.54,14
tongue squamous cell carcinoma,MIAT,0.502,15
tongue squamous cell carcinoma,ESRG,0.5,16
tongue squamous cell carcinoma,MIR155HG,0.478,17
tongue squamous cell carcinoma,IGF2-AS,0.472,18
tongue squamous cell carcinoma,CCAT2,0.456,19
tongue squamous cell carcinoma,BCYRN1,0.448,20
tongue squamous cell carcinoma,PCA3,0.444,21
tongue squamous cell carcinoma,WT1-AS,0.418,22
tongue squamous cell carcinoma,SPRY4-IT1,0.394,23
tongue squamous cell carcinoma,DISC2,0.378,24
tongue squamous cell carcinoma,ATXN8OS,0.376,25
tongue squamous cell carcinoma,DANCR,0.37,26
tongue squamous cell carcinoma,TP53COR1,0.362,27
tongue squamous cell carcinoma,HOTAIR,0.342,28
tongue squamous cell carcinoma,HNF1A-AS1,0.326,29
tongue squamous cell carcinoma,CDKN2A-AS1,0.326,30
oral squamous cell carcinoma,H19,0.966,1
oral squamous cell carcinoma,CDKN2B-AS1,0.946,2
oral squamous cell carcinoma,PVT1,0.906,3
oral squamous cell carcinoma,GAS5,0.816,4
oral squamous cell carcinoma,KCNQ1OT1,0.788,5
oral squamous cell carcinoma,TUG1,0.752,6
oral squamous cell carcinoma,XIST,0.728,7
oral squamous cell carcinoma,MIR17HG,0.704,8
